"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","twitter_account","facebook_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","in_office","dw_nominate","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","fax","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","youtube_account","leadership_role","suffix","contact_form","vacate","successor","non_voting"
"B001269","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001269.json","Lou","Barletta","1956-01-28","M","R","RepLouBarletta","CongressmanLouBarletta",412469,29618,47143,21171,"N00025495","/m/03wcvjl","H2PA11098","https://barletta.house.gov",NA,FALSE,0.278,8,2018,1211,139,0,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:pa/cd:11","2049 Rayburn House Office Building","202-225-6511","202-225-0764","PA","11",FALSE,4211,11.48,95.87,4.13,NA,"reploubarletta","",NA,NA,0,0,0
"B001282","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001282.json","Andy","Barr","1973-07-24","M","R","RepAndyBarr","RepAndyBarr",412541,61848,117290,21333,"N00031233","/m/0ddc6r6","H0KY06104","https://barr.house.gov",NA,FALSE,0.488,6,2018,1211,22,0,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:ky/cd:6","1427 Longworth House Office Building","202-225-4706",NA,"KY","6",FALSE,2106,1.82,97.21,2.79,NA,"RepAndyBarr",NA,NA,NA,0,0,0
"B001300","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001300.json","Nanette","Barragan","1976-09-15","F","D","RepBarragan","CongresswomanBarragan",412687,104730,166270,21703,"N00037019","/g/11bx55ybbz","H6CA44103","https://barragan.house.gov","https://barragan.house.gov/feed/",FALSE,-0.508,2,2018,1211,31,2,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:ca/cd:44","1320 Longworth House Office Building","202-225-8220",NA,"CA","44",FALSE,644,2.56,97.22,2.79,NA,NA,NA,NA,NA,0,0,0
"B000213","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000213.json","Joe","Barton","1949-09-15","M","R","RepJoeBarton","RepJoeBarton",400018,5248,27082,15085,"N00005656","/m/03rspq","H4TX06117","https://joebarton.house.gov",NA,FALSE,0.528,34,2018,1211,56,0,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:tx/cd:6","2107 Rayburn House Office Building","202-225-2002","202-225-3052","TX","6",FALSE,4806,4.62,96.52,3.48,"L.","repjoebarton","",NA,NA,0,0,0
"B001270","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001270.json","Karen","Bass","1953-10-03","F","D","RepKarenBass","RepKarenBass",412404,62502,28963,21110,"N00031877","/m/027g9m6","H0CA33117","https://bass.house.gov","https://bass.house.gov/rss.xml",FALSE,-0.586,8,2018,1211,104,0,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:ca/cd:37","2241 Rayburn House Office Building","202-225-7084","202-225-2422","CA","37",FALSE,637,8.59,96.19,3.81,NA,"RepKarenBass",NA,NA,NA,0,0,0
"B001281","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001281.json","Joyce","Beatty","1950-03-12","F","D","RepBeatty","RepJoyceBeatty",412565,67294,2427,21352,"N00033904","/m/03lcwb","H2OH03125","https://beatty.house.gov","https://beatty.house.gov/rss.xml",FALSE,-0.428,6,2018,1211,68,2,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:oh/cd:3","133 Cannon House Office Building","202-225-4324","202-225-1984","OH","3",FALSE,3903,5.62,97.22,2.78,NA,NA,NA,NA,NA,0,0,0
"B000287","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000287.json","Xavier","Becerra","1958-01-26","M","D","RepBecerra","XavierBecerra",400021,26567,NA,29316,NA,"/m/024trk","H2CA30143","http://becerra.house.gov","https://becerra.house.gov/rss/press-releases.xml",FALSE,-0.512,26,2018,61,42,0,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:ca/cd:34",NA,"202-225-6235",NA,"CA","34",FALSE,634,68.85,100,0,NA,"XavierBecerra",NA,NA,NA,1,0,0
"B001287","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001287.json","Ami","Bera","1965-03-02","M","D","RepBera","RepAmiBera",412512,1033636,120030,21304,"N00030717","/m/0dgqnts","H0CA03078","https://bera.house.gov","https://bera.house.gov/rss.xml",FALSE,-0.228,6,2018,1211,1,0,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:ca/cd:7","1431 Longworth House Office Building","202-225-5716","202-226-1298","CA","7",FALSE,607,0.08,93.3,6.7,NA,"repamibera",NA,NA,NA,0,0,0
"B001301","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001301.json","Jack","Bergman","1947-02-02","M","R","RepJackBergman","RepJackBergman",412709,1020529,170172,21704,"N00039533","/m/05b2l3v","H6MI01226","https://bergman.house.gov",NA,FALSE,0.427,2,2018,1211,12,0,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:mi/cd:1","414 Cannon House Office Building","202-225-4735",NA,"MI","1",FALSE,2601,0.99,94.13,5.87,NA,"RepJackBergman",NA,NA,NA,0,0,0
"B001292","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001292.json","Donald","Beyer","1950-06-20","M","D","RepDonBeyer","RepDonBeyer",412657,21141,1707,21554,"N00036018","/m/053g16","H4VA08224","https://beyer.house.gov",NA,FALSE,-0.388,4,2018,1211,58,1,"2021-03-02 02:35:24 -0500","ocd-division/country:us/state:va/cd:8","1119 Longworth House Office Building","202-225-4376","202-225-0017","VA","8",FALSE,5108,4.79,96.62,3.38,NA,NA,NA,NA,NA,0,0,0
"B001302","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001302.json","Andy","Biggs","1958-11-07","M","R","RepAndyBiggsAZ","RepAndyBiggs",412683,105145,28088,21705,"N00039293","/m/0_1m23v","H6AZ05083","https://biggs.house.gov","https://biggs.house.gov/rss.xml",FALSE,0.904,2,2018,1211,4,0,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:az/cd:5","1626 Longworth House Office Building","202-225-2635",NA,"AZ","5",FALSE,405,0.33,85.35,14.65,NA,NA,NA,NA,NA,0,0,0
"B001257","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001257.json","Gus","Bilirakis","1963-02-08","M","R","RepGusBilirakis","GusBilirakis",412250,1022873,17318,20758,"N00027462","/m/0dy3z1","H6FL09070","https://bilirakis.house.gov","https://bilirakis.house.gov/rss.xml",FALSE,0.404,14,2018,1211,53,0,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:fl/cd:12","2112 Rayburn House Office Building","202-225-5755","202-225-4085","FL","12",FALSE,1212,4.38,98.52,1.48,NA,"RepGusBilirakis",NA,NA,NA,0,0,0
"B001293","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001293.json","Mike","Bishop","1967-03-18","M","R","RepMikeBishop","RepMikeBishop",412635,78290,20157,21527,"N00036449","/m/027qc0m","H4MI08135","https://mikebishop.house.gov",NA,FALSE,0.451,4,2018,1211,54,0,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:mi/cd:8","428 Cannon House Office Building","202-225-4872","202-225-5820","MI","8",FALSE,2608,4.46,95.48,4.52,NA,NA,"",NA,NA,0,0,0
"B001250","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001250.json","Rob","Bishop","1951-07-13","M","R","RepRobBishop","RepRobBishop",400029,1003621,50544,20357,"N00025292","/m/02tn41","H2UT01094","https://robbishop.house.gov","https://robbishop.house.gov/rss.xml",FALSE,0.53,16,2018,1211,33,0,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:ut/cd:1","123 Cannon House Office Building","202-225-0453","202-225-5857","UT","1",FALSE,4901,2.73,97.44,2.56,NA,"CongressmanBishop",NA,NA,NA,0,0,0
"B000490","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000490.json","Sanford","Bishop","1947-02-04","M","D","SanfordBishop","sanfordbishop",400030,26194,26817,29339,"N00002674","/m/02554k","H2GA02031","https://bishop.house.gov","https://bishop.house.gov/rss.xml",FALSE,-0.281,26,2018,1211,46,1,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:ga/cd:2","2407 Rayburn House Office Building","202-225-3631","202-225-2203","GA","2",FALSE,1302,3.8,93.4,6.6,"D.","RepSanfordBishop",NA,"Jr.",NA,0,0,0
"B001273","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001273.json","Diane","Black","1951-01-16","F","R","RepDianeBlack","DianeBlackTN06",412478,9268964,25292,21180,"N00031539","/m/0cyvxl","H0TN06257","https://black.house.gov",NA,FALSE,0.58,8,2018,1211,320,0,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:tn/cd:6","1131 Longworth House Office Building","202-225-4231","202-225-6887","TN","6",FALSE,4706,26.42,98.31,1.69,NA,"RepDianeBlack","",NA,NA,0,0,0
"B001243","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001243.json","Marsha","Blackburn","1952-06-06","F","R","MarshaBlackburn","marshablackburn",400032,31226,25186,20351,"N00003105","/m/01fnkt","H2TN06030","https://www.blackburn.senate.gov",NA,FALSE,0.615,16,2018,1211,196,0,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:tn/cd:7","2266 Rayburn House Office Building","202-225-2811","202-225-3004","TN","7",FALSE,4707,16.19,96.45,3.55,NA,"RepMarshaBlackburn","",NA,NA,0,0,0
"B001294","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001294.json","Rod","Blum","1955-04-26","M","R","RepRodBlum","congressmanrodblum",412627,623771,135714,21520,"N00033744","/m/0127p02j","H2IA01055","https://blum.house.gov",NA,FALSE,0.527,4,2018,1211,67,2,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:ia/cd:1","1108 Longworth House Office Building","202-225-2911",NA,"IA","1",FALSE,1901,5.53,90.33,9.67,NA,NA,"",NA,NA,0,0,0
"B000574","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000574.json","Earl","Blumenauer","1948-08-16","M","D","BlumenauerMedia",NA,400033,43809,367,29588,"N00007727","/m/033tw8","H6OR03064","https://blumenauer.house.gov","https://blumenauer.house.gov/rss.xml",FALSE,-0.427,24,2018,1211,73,2,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:or/cd:3","1111 Longworth House Office Building","202-225-4811","202-225-8941","OR","3",FALSE,4103,6.03,94.86,5.14,NA,"RepBlumenauer",NA,NA,NA,0,0,0
"B001303","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001303.json","Lisa","Blunt Rochester","1962-02-10","F","D","RepLBR","Rep.BluntRochester",412689,104772,173249,21706,"N00038414","/g/11c328y56v","H6DE00206","https://bluntrochester.house.gov",NA,FALSE,-0.324,2,2018,1211,19,2,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:de/cd:1","1123 Longworth House Office Building","202-225-4165",NA,"DE","At-Large",TRUE,1000,1.57,97.68,2.32,NA,NA,NA,NA,NA,0,0,0
"B001278","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001278.json","Suzanne","Bonamici","1954-10-14","F","D","RepBonamici","congresswomanbonamici",412501,63966,59641,21198,"N00033474","/m/02q453x","H2OR01133","https://bonamici.house.gov","https://bonamici.house.gov/rss.xml",FALSE,-0.392,8,2018,1211,7,2,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:or/cd:1","439 Cannon House Office Building","202-225-0855","202-225-9497","OR","1",FALSE,4101,0.58,95.91,4.09,NA,"RepSuzanneBonamici",NA,NA,NA,0,0,0
"B001245","Delegate","Del.","https://api.propublica.org/congress/v1/members/B001245.json","Madeleine","Bordallo","1933-05-31","F","D",NA,"madeleine.bordallo",400041,1003568,1751,NA,"N00024866","/m/01s_xp","H2GU00033","https://bordallo.house.gov",NA,FALSE,NA,16,2018,0,NA,NA,"2018-12-31 18:30:25 -0500","ocd-division/country:us/state:gu/cd:79","2441 Rayburn House Office Building","202-225-1188","202-226-0341","GU","At-Large",TRUE,6698,NA,NA,NA,"Z.",NA,"",NA,"https://bordallo.house.gov/contact",0,0,1
"B001295","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001295.json","Mike","Bost","1960-12-30","M","R","RepBost","RepBost",412629,76176,6302,21519,"N00035420","/m/0kry42","H4IL12060","https://bost.house.gov",NA,FALSE,0.259,4,2018,1211,7,0,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:il/cd:12","1440 Longworth House Office Building","202-225-5661","202-225-0285","IL","12",FALSE,1712,0.58,93.41,6.59,NA,NA,NA,NA,NA,0,0,0
"B001296","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001296.json","Brendan","Boyle","1977-02-06","M","D","CongBoyle","CongressmanBoyle",412652,76428,47357,21548,"N00035307","/m/04f4fjk","H4PA13199","https://boyle.house.gov","https://boyle.house.gov/rss.xml",FALSE,-0.397,4,2018,1211,71,2,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:pa/cd:13","1133 Longworth House Office Building","202-225-6111","202-226-0611","PA","13",FALSE,4213,5.86,96.76,3.24,NA,NA,NA,NA,NA,0,0,0
"B000755","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000755.json","Kevin","Brady","1955-04-11","M","R","RepKevinBrady","kevinbrady",400046,45749,361,29760,"N00005883","/m/03tq00","H6TX08100","https://kevinbrady.house.gov",NA,FALSE,0.518,22,2018,1211,52,0,"2021-03-02 02:35:26 -0500","ocd-division/country:us/state:tx/cd:8","1011 Longworth House Office Building","202-225-4901","202-225-5524","TX","8",FALSE,4808,4.29,98.53,1.47,NA,"KBrady8",NA,NA,NA,0,0,0
"B001227","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001227.json","Robert","Brady","1945-04-07","M","D","RepBrady","RepRobertBrady",400047,55227,2519,29777,"N00001619","/m/03tq5z","H8PA01153","https://brady.house.gov",NA,FALSE,-0.484,22,2018,1211,92,1,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:pa/cd:1","2004 Rayburn House Office Building","202-225-4731","202-225-0088","PA","1",FALSE,4201,7.6,97.35,2.65,"A.","BradyPA01","",NA,NA,0,0,0
"B001290","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001290.json","David","Brat","1964-07-27","M","R","RepDaveBrat","RepDaveBrat",412605,75248,152270,21553,"N00036013","/m/010qykqw","H4VA07143","https://brat.house.gov",NA,FALSE,0.829,6,2018,1211,22,0,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:va/cd:7","1628 Longworth House Office Building","202-225-2815",NA,"VA","7",FALSE,5107,1.82,95.35,4.65,"A.",NA,"",NA,NA,0,0,0
"B001283","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001283.json","Jim","Bridenstine","1975-06-15","M","R","RepJBridenstine","CongressmanJimBridenstine",412567,79705,135894,21354,"N00033532","/m/0jwyd6r","H2OK01143","https://bridenstine.house.gov",NA,FALSE,0.689,6,2018,858,328,0,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:ok/cd:1","216 Cannon House Office Building","202-225-2211","918-935-2716","OK","1",FALSE,4001,38.23,97.53,2.47,NA,"RepJimBridenstine","",NA,NA,1,0,0
"B001284","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001284.json","Susan","Brooks","1960-08-25","F","R","SusanWBrooks","congresswomansusanwbrooks",412539,623720,135988,21331,"N00033495","/m/0jt8ng2","H2IN05082","https://susanwbrooks.house.gov","https://susanwbrooks.house.gov/rss.xml",FALSE,0.376,6,2018,1211,15,0,"2019-10-07 10:26:54 -0400","ocd-division/country:us/state:in/cd:5","1030 Longworth House Office Building","202-225-2276","202-225-0016","IN","5",FALSE,1805,1.24,97.56,2.44,NA,"SusanWBrooks",NA,NA,NA,0,0,0
"B001274","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001274.json","Mo","Brooks","1954-04-29","M","R","RepMoBrooks","RepMoBrooks",412395,94888,121610,21193,"N00030910","/m/0c3xdjf","H0AL05163","https://brooks.house.gov","https://brooks.house.gov/rss.xml",FALSE,0.606,8,2018,1211,76,0,"2021-03-02 02:35:26 -0500","ocd-division/country:us/state:al/cd:5","2400 Rayburn House Office Building","202-225-4801","202-225-4392","AL","5",FALSE,105,6.28,90.79,9.21,NA,"RepMoBrooks",NA,NA,NA,0,0,0
"B001304","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001304.json","Anthony","Brown","1961-11-21","M","D","RepAnthonyBrown","RepAnthonyBrown",412707,1029537,19344,21707,"N00036999","/m/09v6fg","H6MD04209","https://anthonybrown.house.gov",NA,FALSE,-0.342,2,2018,1211,53,0,"2021-03-02 02:35:26 -0500","ocd-division/country:us/state:md/cd:4","1505 Longworth House Office Building","202-225-8699",NA,"MD","4",FALSE,2404,4.38,97.25,2.75,NA,"RepAnthonyBrown",NA,NA,NA,0,0,0
"B001285","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001285.json","Julia","Brownley","1952-08-28","F","D","RepBrownley","RepJuliaBrownley",412516,79783,59904,21308,"N00034254","/m/027z42z","H2CA00120","https://juliabrownley.house.gov","https://juliabrownley.house.gov/category/press-releases/feed/",FALSE,-0.284,6,2018,1211,29,2,"2021-03-02 02:35:26 -0500","ocd-division/country:us/state:ca/cd:26","1019 Longworth House Office Building","202-225-5811","202-225-1100","CA","26",FALSE,626,2.39,96.44,3.56,NA,"RepJuliaBrownley",NA,NA,NA,0,0,0
"B001260","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001260.json","Vern","Buchanan","1951-05-08","M","R","VernBuchanan","CongressmanBuchanan",412196,1021626,66247,20709,"N00027626","/m/0gtjsp","H6FL13148","https://buchanan.house.gov","https://buchanan.house.gov/rss.xml",FALSE,0.358,12,2018,1211,93,1,"2021-03-02 02:35:26 -0500","ocd-division/country:us/state:fl/cd:16","2104 Rayburn House Office Building","202-225-5015","202-226-0828","FL","16",FALSE,1216,7.68,96.04,3.96,NA,"vernbuchanan",NA,NA,NA,0,0,0
"B001297","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001297.json","Ken","Buck","1959-02-16","M","R","RepKenBuck","repkenbuck",412619,78285,125319,21510,"N00030829","/m/05zzjd2","S0CO00237","https://buck.house.gov","https://buck.house.gov/rss.xml",FALSE,0.773,4,2018,1211,30,0,"2021-03-02 02:35:26 -0500","ocd-division/country:us/state:co/cd:4","1130 Longworth House Office Building","202-225-4676","202-225-5870","CO","4",FALSE,804,2.48,91.16,8.84,NA,NA,NA,NA,NA,0,0,0
"B001275","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001275.json","Larry","Bucshon","1962-05-31","M","R","RepLarryBucshon","RepLarryBucshon",412427,61837,120335,21132,"N00031227","/m/0dd9k_y","H0IN08114","https://bucshon.house.gov",NA,FALSE,0.389,8,2018,1211,13,0,"2021-03-02 02:35:26 -0500","ocd-division/country:us/state:in/cd:8","1005 Longworth House Office Building","202-225-4636","202-225-3284","IN","8",FALSE,1808,1.07,96.48,3.52,NA,"RepLarryBucshon",NA,NA,NA,0,0,0
"B001305","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001305.json","Ted","Budd","1971-10-21","M","R","RepTedBudd","RepTedBudd",412712,103513,171489,21708,"N00039551","/g/11c2nmnsj0","H6NC13129","https://budd.house.gov",NA,FALSE,0.709,2,2018,1211,7,0,"2021-03-02 02:35:26 -0500","ocd-division/country:us/state:nc/cd:13","118 Cannon House Office Building","202-225-4531",NA,"NC","13",FALSE,3713,0.58,96.16,3.84,NA,NA,NA,NA,NA,0,0,0
"B001248","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001248.json","Michael","Burgess","1950-12-23","M","R","MichaelCBurgess","michaelcburgess",400052,1003620,50120,20355,"N00025219","/m/03tq8_","H2TX26093","https://burgess.house.gov","https://burgess.house.gov/news/rss.aspx",FALSE,0.569,16,2018,1211,23,0,"2021-03-02 02:35:26 -0500","ocd-division/country:us/state:tx/cd:26","2336 Rayburn House Office Building","202-225-7772","202-225-2919","TX","26",FALSE,4826,1.9,94.59,5.41,"C.","michaelcburgessmd",NA,NA,NA,0,0,0
"B001286","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001286.json","Cheri","Bustos","1961-10-17","F","D","RepCheri","RepCheri",412537,63949,134964,21329,"N00033390","/m/0jwwtrm","H2IL17071","https://bustos.house.gov","https://bustos.house.gov/category/press-release/feed/",FALSE,-0.235,6,2018,1211,9,1,"2021-03-02 02:35:26 -0500","ocd-division/country:us/state:il/cd:17","1009 Longworth House Office Building","202-225-5905","309-786-3720","IL","17",FALSE,1717,0.74,94.27,5.73,NA,"RepCheri",NA,NA,NA,0,0,0
